name,category,model,time,transcript
t,Test,Whisper-large-v3,2.2543," Well, I don't wish to see it anymore, observed Phoebe, turning away her eyes. It is certainly very like the old portrait."
t-2,Test,Whisper-large-v3,18.1376," Fijn dat u vandaag bent gekomen voor het bespreken van de uitslag van de onderzoeken. Zoals u weet hebben we de afgelopen donderdag het aanvullende onderzoek gedaan. En nu heb ik de uitslag. Ja, goedemiddag dokter. Ik ben wel een beetje bang voor de uitslag. Dat kan ik me goed voorstellen. Ik heb helaas geen goed nieuws voor u. Ik moet u mededelen dat u kanker heeft in de dikke darm. Er is een tumor gezien op de scopie. Wat denkt en voelt u nu? Er gaat wel veel in mij om op dit moment. Ik was er al een beetje op voorbereid, maar ik merk dat het toch wel erg confronterend is wat u mij vertelt. Het is ook heel heftig nieuws om te horen. Betekent dat nou dat ik dood ga, dokter? Bent u daar bang voor? Ja, eigenlijk wel. Ik begrijp dat u zich hierover zorgen maakt, maar zijn er genoeg behandelingen?"
t-1,Test,Whisper-large-v3,21.5944," Goedemiddag, neemt u plaats. Dan zullen we de uitslag van het onderzoek gaan bespreken. Goedemiddag dokter, ik ben erg benieuwd. Ja, zoals u weet hebben we net een echo gemaakt en we konden daarop duidelijk zien dat u een blinde darmontsteking heeft. En dit veroorzaakt ook de buikpijn die u heeft. Oh, dat klinkt niet goed. Wat houdt dat precies in? Ja, er is een ontsteking van een aanhangsel van de blinde darm, de appendix. Hoe het ontstaat is niet helemaal duidelijk, maar het ontstaat vaak plotseling. Oké, ik snap wel wat u bedoelt, denk ik. U klinkt nog niet overtuigd. Maakt u zich zorgen? Wel een beetje, om eerlijk te zijn. Is het wel goed te genezen? Ja, het is eigenlijk zonder ernstige complicaties goed op te lossen. Maar we moeten het wel gaan behandelen. Oké, dat stelt me gelukkig gerust. Wat kan er dan gedaan aan worden? Nou, eigenlijk zijn er twee opties. Optie 1 is een operatie waarbij het ontstoken deel verwijderd wordt. Dit is de optie waar het meest voor gekozen wordt. De andere optie is behandelen met antibiotica."
t-3,Test,Whisper-large-v3,17.8449," Goedemiddag. Wat heeft u hier gebracht vandaag? Ik heb de laatste tijd wat last van mijn hart. Uw hart. En wat bedoelt u daarmee? Nou, ik merk dat ik steeds vaker hartkloppingen heb. Oké. En hoe lang heeft u daar al last van? Ik denk een paar weken, maar sommige dagen heb ik er ook helemaal geen last van. Dus eigenlijk heeft u bijna iedere dag er last van en wat voelt u dan precies? Mijn hart klopt dus sneller en ik voel het echt in mijn borstkas kloppen. Oké, dat is vast een onprettig gevoel. U zegt dat u het al een paar weken heeft, daarvoor had u het niet. Wat maakt nou dat u vandaag bent gekomen? Ja, het is gewoon een heel naar gevoel en ik denk dat ik een hartaanval krijg ofzo, dus ik wil het in en ander laten checken. Ja, dat begrijp ik helemaal. En op zo'n moment van de aanval, wat doet u dan? Ja, niks speciaals eigenlijk. Voelt u verder nog andere dingen op die momenten in de borstkast of in de rest van je lichaam?"
t,Test,NVIDIA Parakeet TDT 0.6B v3,0.1096,"Well, I don't wish to see it any more, observed Phoebe, turning away her eyes. It is certainly very like the old portrait."
t-2,Test,NVIDIA Parakeet TDT 0.6B v3,0.3515,"Fijn dat u vandaag bent gekomen voor het bespreken van de uitslag van de onderzoeken. Zoals u weet hebben we de afgelopen donderdag het aanvullende onderzoek gedaan. En nu heb ik de uitslag. Goedemiddag dokter, ik ben wel een beetje bang voor de uitslag. Dat kan ik me goed voorstellen. Ik heb helaas geen goed nieuws voor u. Ik moet u mededelen dat u kanker heeft in het dikke darm. Er is een tumor gezien op de scopie. Wat denkt en voelt u nu? Er gaat wel veel in mij om op dit moment. Ik was er al een beetje op voorbereid, maar ik merk dat het toch wel erg confronterend is wat u mij vertelt. Het is ook heel heftig nieuws om te horen. Betekent dat nou dat ik doodga, dokter? Bent u daar bang voor? Ja, eigenlijk wel. Ik begrijp dat u zich hierover zorgen maakt, maar zijn nog genoeg behandel."
t-1,Test,NVIDIA Parakeet TDT 0.6B v3,0.4367,"Goedemiddag, neemt u plaats. Dan zullen we de uitslag van het onderzoek gaan bespreken. Goedemiddag, dokter. Ik ben erg benieuwd. Ja, zoals u weet hebben we net een echo gemaakt. We konden daarop duidelijk zien dat u een blinde darmontsteking heeft, en dit veroorzaakt ook de buikpijn die u heeft. Oh, dat klinkt niet goed. Wat houdt er precies in? Ja, er is een ontsteking van een aanhangsel van de blinde darm, de appendix. Hoe het ontstaat is niet helemaal duidelijk, maar het ontstaat vaak plotseling. Oké, ik snap wel wat u bedoelt, denk ik. U klinkt nog niet overtuigd. Maakt u zich zorgen? Wel een beetje om eerlijk te zijn. Is het wel goed te genezen? Ja, het is eigenlijk zonder ernstige complicaties goed op te lossen, maar we moeten het wel gaan behandelen. Oké, dat stelt me gelukkig gerust. Wat kan er dan gedaan aan worden? Nou, eigenlijk zijn er twee opties. Optie 1 is een operatie waarbij het ontstoken deel verwijderd wordt. Dit is de optie waar het meest voor gekozen wordt. De andere optie is behandelen met antibiotica."
t-3,Test,NVIDIA Parakeet TDT 0.6B v3,0.3096,"Goedemiddag, wat heeft u hier gebracht vandaag? Ik heb de laatste tijd wat last van mijn hart. Uw hart, en wat bedoelt u daarmee? Ik merk dat ik steeds vaker hartkloppingen heb. Oké, en hoe lang heeft u daar al last van? Ik denk een paar weken, maar sommige dagen heb ik er ook helemaal geen last van. Dus eigenlijk heeft u bijna iedere dag er last van. En wat voelt u dan precies? Mijn hart klopt dus sneller. En ik voel het echt in mijn borstkas kloppen. Oké, dat is vast een onprettig gevoel. U zegt dat u het al een paar weken heeft. Daarvoud u het niet. Wat maakt nou dat u vandaag bent gekomen? Ja, het is gewoon een heel naar gevoel. En ik denk dat ik een hartaanval krijg of zo, dus ik wil het een en ander laten checken. Ja, dat begrijp ik helemaal. En op zo'n moment van de aanval, wat doet u dan? Ja, niks speciaals eigenlijk. Voelt u verder nog andere dingen op die moment, in de borstkast of in de rest van je lichaam?"
t,Test,Cohere Labs Transcribe,0.49777," Well, I don't wish to see it any more observed phoebe turning away her eyes. It is certainly very like the old portrait."
t-2,Test,Cohere Labs Transcribe,1.90948," Fijn dat u vandaag bent gekomen voor het bespreken van de uitslag van de onderzoeken. Zoals u weet, hebben we afgelopen donderdag het aanvullende onderzoek gedaan. En nu heb ik de uitslag. Ja, goeiemiddag dokter. Ik ben wel een beetje bang voor de uitslag. Dat kan ik me goed voorstellen. Ik heb helaas geen goed nieuws voor u. Ik moet u mededelen dat u kanker heeft in de dikke darm. Er is een tumor gezien op de scopie. Wat denkt en voelt u nu? Er gaat wel veel in mij om op dit moment. Ik was er al een beetje op voorbereid, maar ik merk dat het toch wel erg confronterend is wat u mij vertelt. Het is ook heel heftig nieuws om te horen. Betekent dat nou dat ik doodga, dokter? Bent u daar bang voor? Ja, eigenlijk wel. Ik begrijp dat u zich hierover zorgen maakt, maar zijn er nog genoeg behandelingen?"
t-1,Test,Cohere Labs Transcribe,1.91669," Goedemiddag, neemt u plaats. Dan zullen we de uitslag van het onderzoek gaan bespreken. Goedemiddag, dokter, ik ben erg benieuwd. Ja, zoals u weet hebben we net een echo gemaakt en we konden daarop duidelijk zien dat u een blindedarmontsteking heeft. En dit veroorzaakt ook de buikpijn die u heeft. Oh, dat klinkt niet goed. Wat houdt dat precies in? Ja, er is een ontsteking van een aanhangsel van de blindedarm, de appendix. Hoe het ontstaat is niet helemaal duidelijk, maar het ontstaat vaak plotseling. Oké, ik snap wel wat u bedoelt, denk ik. U klinkt nog niet overtuigd. Maakt u zich zorgen? Wel een beetje om eerlijk te zijn. Is het wel goed te genezen? Ja, het is eigenlijk zonder ernstige complicaties goed op te lossen. Maar we moeten het wel gaan behandelen. Oké, dat stelt me gelukkig gerust. Wat kan er dan gedaan aan worden? Nou, eigenlijk zijn er twee opties. Optie 1 is een operatie waarbij het ontstoken deel verwijderd wordt. Dit is de optie waar het meest voor gekozen wordt. De andere optie is behandelen met antibiotica."
t-3,Test,Cohere Labs Transcribe,1.93727," Goedemiddag, wat heeft u hier gebracht vandaag? Ik heb de laatste tijd wat last van mijn hart. Uw hart, en wat bedoelt u daarmee? Ik merk dat ik steeds vaker hartklopingen heb. Oké, en hoe lang heeft u daar al last van? Ik denk een paar weken, maar sommige dagen heb ik er ook helemaal geen last van. Dus eigenlijk heeft u bijna iedere dag er last van en wat voelt u dan precies? Mijn hart klopt dus sneller en ik voel het echt in mijn borstkast kloppen. Oké, dat is vast een onprettig gevoel. U zegt dat u het al een paar weken heeft. Daarvoor had u het niet. Wat maakt nou dat u vandaag bent gekomen? Ja, het is gewoon een heel naar gevoel. En ik denk dat ik een hartaanval krijg of zo, dus ik wil het een en ander laten checken. Ja, dat begrijp ik helemaal. En op zo'n moment van de aanval, wat doet u dan? Ja, niks speciaals eigenlijk. Voelt u verder nog andere dingen op die momenten, in de borstkast of in de rest van je lichaam?"
t,Test,NVIDIA Canary 1B v2,0.2028,"'Nou, ik wil het niet meer zien,'merkte Phoebe op en keek haar ogen weg.'Het lijkt zeker op het oude portret."
t-2,Test,NVIDIA Canary 1B v2,1.5417,"Fijn dat u vandaag bent gekomen voor het bespreken van de uitslag van de onderzoeken. Zoals u weet hebben we de afgelopen donderdag het aanvullende onderzoek gedaan. En nu heb ik de uitslag. Goedemiddag, dokter. Ik ben wel een beetje bang voor de uitslag. Dat kan ik me goed voorstellen. Ik heb helaas geen goed nieuws voor u. Ik moet u mededelen dat u kanker heeft in de dikke darm. Er is een tumor gezien op de scopie. Wat denkt en voelt u nu? Er gaat wel veel in mij om op dit moment. Ik was er al een beetje op voorbereid, maar ik merk dat het toch wel erg confronterend is wat u mij vertelt. Het is ook heel heftig nieuws om te horen. Betekent dat nou dat ik doodga, dokter? Bent u daar bang voor? Ja, eigenlijk wel. Ik begrijp dat u zich hierover zorgen maakt, maar er zijn nog genoeg behandelingen."
t-1,Test,NVIDIA Canary 1B v2,1.9229,"Goedemiddag, neemt u plaats. Dan zullen we de uitslag van het onderzoek gaan bespreken. Goedemiddag, dokter. Ik ben erg benieuwd. Ja, zoals u weet, hebben we net een echo gemaakt. En we konden daarop duidelijk zien dat u een blindedarmontsteking heeft. En dit veroorzaakt ook de buikpijn die u heeft. Oh, dat klinkt niet goed. Wat houdt dat precies in? Ja, er is een ontsteking van een aanhangsel van de blindedarmontsteking, de appendix. Hoe het ontstaat is niet helemaal duidelijk, maar het ontstaat vaak plotseling. Oké, ik snap wel wat u bedoelt, denk ik. U klinkt nog niet overtuigd. Maakt u zich zorgen? Wel een beetje om eerlijk te zijn. Is het wel goed te genezen? Ja, het is eigenlijk zonder ernstige complicaties goed op te lossen. Maar we moeten het wel gaan behandelen. Oké, dat stelt me gelukkig gerust. Wat kan er dan gedaan worden? Nou, eigenlijk zijn er twee opties. De andere optie is behandelen met antibiotica."
t-3,Test,NVIDIA Canary 1B v2,1.4597,"Goedemiddag, wat heeft u hier gebracht vandaag? Ik heb de laatste tijd wat last van mijn hart. Uw hart, en wat bedoelt u daarmee? Ik merk dat ik steeds vaker hartkloppingen heb. Oké, en hoe lang heeft u daar al last van? Ik denk een paar weken, maar sommige dagen heb ik er ook helemaal geen last van. Dus eigenlijk heeft u bijna iedere dag er last van, en wat voelt u dan precies? Mijn hart klopt dus sneller, en ik voel het echt in mijn borstkas kloppen. Oké, dat is vast een onprettig gevoel. U zegt dat u het al een paar weken heeft, en ik voel het echt in mijn borstkas kloppen. Oké, dat is vast een onprettig gevoel. U zegt dat u het al een paar weken heeft, en ik voel het in de rest van je lichaam."
