name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
t,Test,Whisper-large-v3,gemini-2.5-flash,23,"[0.29085201025009155, 0.2955898642539978, 0.2932018041610718]",0.0,1.6029411764705883,0.045454545454545456,0.045454545454545456,0.2400251862903436
t,Test,Whisper-large-v3,gpt-4o,23,"[0.31390589475631714, 0.3467837870121002, 0.32952678203582764]",0.0,1.6323529411764706,0.0,0.0,0.42941588908433914
t-2,Test,Whisper-large-v3,gemini-2.5-flash,82,"[0.7332244515419006, 0.6898742914199829, 0.7108890414237976]",0.225,0.39800995024875624,0.41509433962264153,0.2641509433962264,0.24203646779060364
t-2,Test,Whisper-large-v3,gpt-4o,82,"[0.802293598651886, 0.7407857775688171, 0.7703137993812561]",0.3375,0.5111940298507462,0.6923076923076923,0.35384615384615387,0.29956625401973724
t-1,Test,Whisper-large-v3,gemini-2.5-flash,92,"[0.7135642766952515, 0.7294990420341492, 0.7214437127113342]",0.36666666666666664,0.4388349514563107,0.5384615384615384,0.38461538461538464,0.5332050740718841
t-1,Test,Whisper-large-v3,gpt-4o,92,"[0.8169671297073364, 0.8055368661880493, 0.8112117648124695]",0.5555555555555556,0.47572815533980584,0.7948717948717948,0.46153846153846156,0.41763218119740486
t-3,Test,Whisper-large-v3,gemini-2.5-flash,61,"[0.7969249486923218, 0.7993131875991821, 0.7981172800064087]",0.1694915254237288,0.3786407766990291,0.6779661016949152,0.4067796610169492,0.40120984241366386
t-3,Test,Whisper-large-v3,gpt-4o,61,"[0.7231757640838623, 0.7468948364257812, 0.734843909740448]",0.1694915254237288,0.418554476806904,0.9384615384615385,0.5384615384615384,0.5384600475430489
t,Test,NVIDIA Parakeet TDT 0.6B v3,gemini-2.5-flash,23,"[0.3020232319831848, 0.28816208243370056, 0.2949298918247223]",0.0,1.4411764705882353,0.05263157894736842,0.05263157894736842,0.3392580086365342
t,Test,NVIDIA Parakeet TDT 0.6B v3,gpt-4o,23,"[0.2970055639743805, 0.3242610991001129, 0.31003546714782715]",0.0,1.3823529411764706,0.0,0.0,0.34718678891658783
t-2,Test,NVIDIA Parakeet TDT 0.6B v3,gemini-2.5-flash,82,"[0.5978933572769165, 0.680210530757904, 0.6364011168479919]",0.2625,0.5186567164179104,0.704225352112676,0.3380281690140845,0.25727866142988204
t-2,Test,NVIDIA Parakeet TDT 0.6B v3,gpt-4o,82,"[0.81932532787323, 0.7788923978805542, 0.7985973954200745]",0.3875,0.5435323383084577,0.7464788732394366,0.4084507042253521,0.2976150944828987
t-1,Test,NVIDIA Parakeet TDT 0.6B v3,gemini-2.5-flash,92,"[0.7922453284263611, 0.7459758520126343, 0.7684147357940674]",0.4222222222222222,0.37766990291262137,0.8548387096774194,0.5,0.5510955423116684
t-1,Test,NVIDIA Parakeet TDT 0.6B v3,gpt-4o,92,"[0.8250635266304016, 0.7920924425125122, 0.8082418441772461]",0.5111111111111111,0.4388349514563107,0.8309859154929577,0.49295774647887325,0.5676829785108566
t-3,Test,NVIDIA Parakeet TDT 0.6B v3,gemini-2.5-flash,61,"[0.789203405380249, 0.8078230023384094, 0.7984046936035156]",0.06779661016949153,0.5145631067961165,0.4935064935064935,0.33766233766233766,0.3535446959237258
t-3,Test,NVIDIA Parakeet TDT 0.6B v3,gpt-4o,61,"[0.8412695527076721, 0.8603259325027466, 0.850691020488739]",0.3389830508474576,0.517799352750809,0.5866666666666667,0.3466666666666667,0.28452274079124135
t,Test,Cohere Labs Transcribe,gemini-2.5-flash,23,"[0.30284419655799866, 0.2956341505050659, 0.2991957664489746]",0.0,1.5735294117647058,0.045454545454545456,0.045454545454545456,0.2507247005899747
t,Test,Cohere Labs Transcribe,gpt-4o,23,"[0.2862273156642914, 0.3242958188056946, 0.3040747046470642]",0.0,1.588235294117647,0.0,0.0,0.36403684690594673
t-2,Test,Cohere Labs Transcribe,gemini-2.5-flash,82,"[0.5515308380126953, 0.640601396560669, 0.5927386283874512]",0.25,0.5907960199004975,0.547945205479452,0.3287671232876712,0.348364332318306
t-2,Test,Cohere Labs Transcribe,gpt-4o,82,"[0.837965190410614, 0.8083144426345825, 0.8228728175163269]",0.475,0.5447761194029851,0.581081081081081,0.36486486486486486,0.2576694115996361
t-1,Test,Cohere Labs Transcribe,gemini-2.5-flash,92,"[0.7773764729499817, 0.7856438755989075, 0.781488299369812]",0.4222222222222222,0.43106796116504853,1.0298507462686568,0.5522388059701493,0.5919374883174896
t-1,Test,Cohere Labs Transcribe,gpt-4o,92,"[0.8259811997413635, 0.8231422305107117, 0.8245592713356018]",0.5555555555555556,0.49320388349514566,0.8734177215189873,0.46835443037974683,0.45321064442396164
t-3,Test,Cohere Labs Transcribe,gemini-2.5-flash,61,"[0.747460663318634, 0.7945456504821777, 0.7702842950820923]",0.05084745762711865,0.48327939590075514,0.42857142857142855,0.34285714285714286,0.412858996540308
t-3,Test,Cohere Labs Transcribe,gpt-4o,61,"[0.8600361943244934, 0.8753719329833984, 0.8676363229751587]",0.3050847457627119,0.40668824163969797,0.3157894736842105,0.2807017543859649,0.23335734084248544
t,Test,NVIDIA Canary 1B v2,gemini-2.5-flash,23,"[0.31504935026168823, 0.28937289118766785, 0.3016657531261444]",0.0,1.3676470588235294,0.05555555555555555,0.05555555555555555,0.3413845198228955
t,Test,NVIDIA Canary 1B v2,gpt-4o,23,"[0.33374908566474915, 0.2835278809070587, 0.30659550428390503]",0.0,0.9705882352941176,0.07692307692307693,0.07692307692307693,0.3414159333333373
t-2,Test,NVIDIA Canary 1B v2,gemini-2.5-flash,82,"[0.7574881911277771, 0.7376348376274109, 0.7474296689033508]",0.2125,0.5087064676616916,0.8088235294117647,0.39705882352941174,0.2669293463230133
t-2,Test,NVIDIA Canary 1B v2,gpt-4o,82,"[0.8124499320983887, 0.7944186925888062, 0.8033331632614136]",0.3125,0.5597014925373134,0.5789473684210527,0.3684210526315789,0.2775449216365814
t-1,Test,NVIDIA Canary 1B v2,gemini-2.5-flash,92,"[0.863201916217804, 0.8345844745635986, 0.8486520648002625]",0.4777777777777778,0.44660194174757284,0.6486486486486487,0.40540540540540543,0.5246831079324087
t-1,Test,NVIDIA Canary 1B v2,gpt-4o,92,"[0.8353846669197083, 0.8152822852134705, 0.8252110481262207]",0.5222222222222223,0.4320388349514563,0.8985507246376812,0.463768115942029,0.4601882487535477
t-3,Test,NVIDIA Canary 1B v2,gemini-2.5-flash,61,"[0.7555997371673584, 0.7362373471260071, 0.7457929253578186]",0.01694915254237288,0.2297734627831715,0.6571428571428571,0.37142857142857144,0.5451644100248814
t-3,Test,NVIDIA Canary 1B v2,gpt-4o,61,"[0.8089077472686768, 0.8007568717002869, 0.8048116564750671]",0.23728813559322035,0.2750809061488673,0.375,0.325,0.4648979278281331
t-1,Test,gt,gpt-4o,92,,,0.5398058252427185,1.054945054945055,0.5494505494505495,0.5634450887640318
t-3,Test,gt,gpt-4o,61,,,0.4261057173678533,0.4,0.3333333333333333,0.3854477949440479
t,Test,gt,gpt-4o,23,,,1.838235294117647,0.2727272727272727,0.2727272727272727,0.48044057190418243
t-2,Test,gt,gpt-4o,82,,,0.599502487562189,0.8518518518518519,0.4074074074074074,0.29100146641333896
